CustomerID,Gender,Age,Income,Spending_Score,RFMScore,Clusters
0,male,0,0,0,0,4
1,Male,19,15,39,100,4
2,Male,21,15,81,50,2
3,Female,20,16,6,41.66666667,4
4,Female,23,16,77,91.66666667,2
5,Female,31,17,40,58.33333333,4
6,Female,22,17,76,25,2
7,Female,35,18,6,58.33333333,4
8,Female,23,18,94,83.33333333,2
9,Male,64,19,3,50,4
10,Female,30,19,72,66.66666667,2
11,Male,67,19,14,58.33333333,4
12,Female,35,19,99,41.66666667,2
13,Female,58,20,15,25,4
14,Female,24,20,77,91.66666667,2
15,Male,37,20,13,100,4
16,Male,22,20,79,58.33333333,2
17,Female,35,21,35,91.66666667,4
18,Male,20,21,66,50,2
19,Male,52,23,29,50,4
20,Female,35,23,98,66.66666667,2
21,Male,35,24,35,41.66666667,4
22,Male,25,24,73,50,2
23,Female,46,25,5,75,4
24,Male,31,25,73,83.33333333,2
25,Female,54,28,14,41.66666667,4
26,Male,29,28,82,33.33333333,2
27,Female,45,28,32,41.66666667,4
28,Male,35,28,61,50,2
29,Female,40,29,31,100,4
30,Female,23,29,87,50,2
31,Male,60,30,4,75,4
32,Female,21,30,73,41.66666667,2
33,Male,53,33,4,100,4
34,Male,18,33,92,58.33333333,2
35,Female,49,33,14,66.66666667,4
36,Female,21,33,81,50,2
37,Female,42,34,17,66.66666667,4
38,Female,30,34,73,100,2
39,Female,36,37,26,41.66666667,4
40,Female,20,37,75,100,2
41,Female,65,38,35,33.33333333,4
42,Male,24,38,92,41.66666667,2
43,Male,48,39,36,33.33333333,1
44,Female,31,39,61,50,1
45,Female,49,39,28,33.33333333,4
46,Female,24,39,65,75,2
47,Female,50,40,55,41.66666667,1
48,Female,27,40,47,50,1
49,Female,29,40,42,33.33333333,1
50,Female,31,40,42,50,1
51,Female,49,42,52,75,1
52,Male,33,42,60,50,1
53,Female,31,43,54,33.33333333,1
54,Male,59,43,60,50,1
55,Female,50,43,45,25,1
56,Male,47,43,41,33.33333333,1
57,Female,51,44,50,66.66666667,1
58,Male,69,44,46,66.66666667,1
59,Female,27,46,51,50,1
60,Male,53,46,46,50,1
61,Male,70,46,56,66.66666667,1
62,Male,19,46,55,58.33333333,1
63,Female,67,47,52,58.33333333,1
64,Female,54,47,59,41.66666667,1
65,Male,63,48,51,75,1
66,Male,18,48,59,41.66666667,1
67,Female,43,48,50,41.66666667,1
68,Female,68,48,48,41.66666667,1
69,Male,19,48,59,41.66666667,1
70,Female,32,48,47,50,1
71,Male,70,49,55,50,1
72,Female,47,49,42,33.33333333,1
73,Female,60,50,49,75,1
74,Female,60,50,56,41.66666667,1
75,Male,59,54,47,33.33333333,1
76,Male,26,54,54,41.66666667,1
77,Female,45,54,53,66.66666667,1
78,Male,40,54,48,66.66666667,1
79,Female,23,54,52,66.66666667,1
80,Female,49,54,42,33.33333333,1
81,Male,57,54,51,50,1
82,Male,38,54,55,41.66666667,1
83,Male,67,54,41,33.33333333,1
84,Female,46,54,44,25,1
85,Female,21,54,57,25,1
86,Male,48,54,46,25,1
87,Female,55,57,58,33.33333333,1
88,Female,22,57,55,58.33333333,1
89,Female,34,58,60,50,1
90,Female,50,58,46,33.33333333,1
91,Female,68,59,55,25,1
92,Male,18,59,41,41.66666667,1
93,Male,48,60,49,41.66666667,1
94,Female,40,60,40,75,1
